Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Discovery_Year
BD-11 4672 b,0.53,,1667.0,2.28,,radial vel.,89.0,0.57,4475.0,2014
Beta Cancri b,7.8,,605.2,1.7,,radial vel.,290.4,1.7,4092.1,2014
Beta Ursae Minoris b,6.1,,522.3,1.4,,radial vel.,126.5,1.4,4126.0,2014
COROT-22b,0.038,0.435,9.75598,0.092,885.0,transit,1930.0,1.1,5939.0,2014
COROT-24b,0.018,0.33,5.1134,0.056,1070.0,transit,2000.0,0.91,4950.0,2014
COROT-24c,0.088,0.44,11.759,0.098,850.0,transit,2000.0,0.91,4950.0,2014
COROT-27b,10.39,1.007,3.57532,0.0476,1500.0,transit,3400.0,1.05,5900.0,2014
Gliese 15 Ab,0.017,,11.4433,0.0717,,radial vel.,11.6,0.38,3567.0,2014
Gliese 27.1 b,0.0409,,15.819,0.101,,radial vel.,77.05,0.53,3542.0,2014
Gliese 180 b,0.0261,,17.38,0.103,,radial vel.,38.95,0.43,3371.0,2014
Gliese 433 c,0.14,,4900.0,4.7,,radial vel.,29.57,0.48,3472.0,2014
Gliese 422 b,0.0311,,26.161,0.119,,radial vel.,41.32,0.35,3323.0,2014
Gliese 687 b,0.058,,38.14,0.16353,,radial vel.,14.8,0.41,3413.0,2014
Gliese 3293 b,0.07406,,30.5987,0.14339,,radial vel.,51.4,0.42,3466.0,2014
Gliese 3293 c,0.06636,,122.6196,0.36175,,radial vel.,51.4,0.42,3466.0,2014
Gliese 3341 b,0.0208,,14.207,0.089,,radial vel.,77.1,0.47,3526.0,2014
GU Piscium b,11.3,1.265,,2000.0,,imaging,160.0,0.33,3250.0,2014
HAT-P-49b,1.73,1.413,2.691548,0.0438,2131.0,transit,1050.0,1.54,6820.0,2014
HAT-P-54b,0.76,0.944,3.799847,0.04117,,transit,443.0,0.65,4390.0,2014
HATS-4b,1.323,1.02,2.516729,0.0362,1315.0,transit,1400.0,1.0,5403.0,2014
HATS-5b,0.237,0.912,4.763387,0.0542,1025.0,transit,840.0,0.94,5304.0,2014
HATS-6b,0.319,0.998,3.3252725,0.03623,,transit,484.0,0.57,3724.0,2014
HD 564 b,0.33,,492.3,1.2,,radial vel.,175.0,0.96,5902.0,2014
HD 4203 c,2.17,,6700.0,6.95,,radial vel.,253.8,1.13,5702.0,2014
HD 5319 c,1.15,,886.0,2.071,,radial vel.,370.0,1.51,4958.0,2014
HD 10442 b,2.1,,1043.0,2.335,,radial vel.,443.0,1.56,5034.0,2014
HD 11506 c,0.408,,223.41,0.774,,radial vel.,167.4,1.12,5833.0,2014
HD 14067 b,7.8,,1455.0,3.4,,radial vel.,533.0,2.4,4815.0,2014
HD 30669 b,0.47,,1684.0,2.69,,radial vel.,186.0,0.92,5400.0,2014
HD 75784 b,1.15,,341.7,1.073,,radial vel.,224.0,1.41,4917.0,2014
HD 100546 b,,3.4,,53.0,,imaging,320.0,2.4,10500.0,2014
HD 103720 b,0.62,,4.5557,0.0498,,radial vel.,136.0,0.79,5017.0,2014
HD 108341 b,3.5,,1129.0,2.0,,radial vel.,161.0,0.84,5122.0,2014
HD 114613 b,0.48,,3827.0,5.16,,radial vel.,66.8,1.36,5729.0,2014
HD 141399 b,0.451,,94.44,0.415,,radial vel.,118.0,1.07,5600.0,2014
HD 141399 c,1.33,,201.99,0.689,,radial vel.,118.0,1.07,5600.0,2014
HD 141399 d,1.18,,1069.8,2.09,,radial vel.,118.0,1.07,5600.0,2014
HD 141399 e,0.66,,5000.0,5.0,,radial vel.,118.0,1.07,5600.0,2014
HD 154857 c,2.58,,3452.0,5.36,,radial vel.,223.5,1.72,5605.0,2014
HIP 67851 b,1.38,,88.9,0.46,,radial vel.,208.3,1.63,4890.0,2014
HIP 67851 c,4.34,,1741.0,3.09,,radial vel.,208.3,1.63,4890.0,2014
HIP 97233 b,20.0,,1058.8,2.55,,radial vel.,347.0,1.93,5020.0,2014
HIP 105854 b,8.2,,184.2,0.81,,radial vel.,276.0,2.1,4780.0,2014
HIP 116454 b,0.037,0.226,9.1205,0.0906,,radial vel.,180.0,0.78,5089.0,2014
Kapteyn b,0.015,,48.616,0.168,,radial vel.,12.8,0.28,3550.0,2014
Kapteyn c,0.022,,121.54,0.311,,radial vel.,12.8,0.28,3550.0,2014
Kepler-23d,,0.196,15.274299,0.124,,transit,2600.0,1.11,5828.0,2014
Kepler-24d,,0.149,4.244384,0.051,,transit,3900.0,1.03,5897.0,2014
Kepler-24e,,0.248,18.998355,0.138,,transit,3900.0,1.03,5897.0,2014
Kepler-25d,0.283,,123.0,,,radial vel.,798.0,1.19,6270.0,2014
Kepler-26d,,0.095,3.543919,0.039,,transit,1104.0,0.54,3914.0,2014
Kepler-26e,,0.215,46.827915,0.22,,transit,1104.0,0.54,3914.0,2014
Kepler-31d,6.8,0.348,87.6451,0.4,,transit,6800.0,1.21,6340.0,2014
Kepler-37e,,,51.196,,,timing,220.0,0.8,5417.0,2014
Kepler-48d,0.025,0.182,42.8961,,,transit,1009.0,0.88,5194.0,2014
Kepler-48e,2.067,,982.0,,,radial vel.,1009.0,0.88,5194.0,2014
Kepler-49d,,0.143,2.576549,0.031,,transit,1024.0,0.55,4252.0,2014
Kepler-49e,,0.139,18.596108,0.116,,transit,1024.0,0.55,4252.0,2014
Kepler-51d,0.024,0.865,130.194,0.509,,transit,2610.0,1.04,6018.0,2014
Kepler-52d,,0.174,36.445171,0.182,,transit,1058.0,0.54,4263.0,2014
Kepler-53d,,0.189,9.751962,0.091,,transit,4600.0,0.98,5858.0,2014
Kepler-54d,,0.136,20.995694,0.126,,transit,893.0,0.51,4252.0,2014
Kepler-55d,,0.142,2.211099,0.029,,transit,1920.0,0.62,4503.0,2014
Kepler-55e,,0.138,4.617534,0.048,,transit,1920.0,0.62,4503.0,2014
